kakot;Shape_Leng;Shape_Area;lat;long
Malinau;12.78752165;3.210684729;2.48155258;115.7178334
Maluku Barat Daya;11.1121032;0.373219623;-7.83306332;127.3040192
Maluku Tengah;10.80629238;0.673298229;-3.18224486;129.2917798
Maluku Tenggara;5.853945912;0.082994472;-5.67707353;132.8880116
Mamasa;3.158924986;0.24521184;-2.94853986;119.3104952
Mamberamo Raya;13.7474869;2.20699267;-2.42264017;137.9571866
Mamberamo Tengah;3.732266768;0.281225228;-3.58161247;139.0029585
Mamuju;5.018918732;0.382257204;-2.53602891;119.3299787
Mamuju Tengah;3.38903972;0.230761763;-2.01457063;119.5079016
Mandailing Natal;5.690983407;0.531226763;0.77585398;99.36927245
Manggarai;2.594210217;0.110037636;-8.56916568;120.4014359
Manggarai Barat;10.8093615;0.257733455;-8.6025057;119.9887056
Manggarai Timur;2.657170626;0.193320295;-8.57556335;120.6858504
Manokwari;3.736828979;0.25476356;-0.94394884;133.7465332
Manokwari Selatan;2.930662725;0.143126926;-1.55757112;134.0213533
Mappi;10.34513136;1.837777352;-6.51806778;139.3696457
Maros;2.379707824;0.117172614;-5.00048983;119.7251741
Maybrat;4.40062736;0.45289891;-1.38273721;132.5231543
Melawi;5.833809169;0.819679825;-0.63546166;111.720552
Mempawah;3.214444724;0.156315664;0.35123188;109.1542714
Merangin;5.21076369;0.600915864;-2.1878016;102.0656197
Merauke;18.35977293;3.754257468;-7.81489232;139.7060843
Mesuji;2.90937673;0.179556678;-4.02505026;105.3779976
Mimika;12.59947954;1.568819959;-4.52392857;136.844757
Minahasa;2.748092687;0.091989009;1.25353712;124.8591506
Minahasa Selatan;2.830448575;0.121438828;1.08492287;124.5218043
Minahasa Tenggara;1.794556075;0.059218817;1.01295929;124.7197083
Minahasa Utara;4.133873876;0.081553596;1.54912147;125.0046328
Mojokerto;2.169833095;0.080653814;-7.5507452;112.4844566
Morowali;9.605726117;0.357965119;-2.71812874;121.9284432
Morowali Utara;7.591994535;0.720806878;-1.81720059;121.386562
Muara Enim;7.542798046;0.550059463;-3.63672837;104.0046126
Muaro Jambi;5.287040538;0.436821706;-1.60513579;103.7412172
Muko Muko;2.868179748;0.33659168;-2.69036173;101.4819144
Muna;5.389650226;0.154003406;-4.94072881;122.6293424
Muna Barat;2.681205285;0.063068195;-4.81490278;122.4868362
Murung Raya;8.742871572;1.909110716;-0.03298022;114.2671579
Musi Banyuasin;7.543701578;1.191834267;-2.45732001;103.8294462
Musi Rawas;4.443099746;0.497365175;-3.16502717;103.136024
Musi Rawas Utara;4.148168331;0.48318173;-2.74011036;102.7439925
Nabire;10.94094361;0.950050973;-3.38852521;135.5980511
Nagan Raya;3.285702171;0.279182115;4.1551585;96.5056567
Nagekeo;2.181649089;0.114962609;-8.68944302;121.2734494
Natuna;8.534585856;0.16254662;3.78489801;108.2591562
Nduga;7.9963653;0.531242648;-4.42722044;138.3266712
Ngada;2.945215084;0.145928611;-8.6589054;120.9996433
Nganjuk;2.074546617;0.105622044;-7.59754433;111.9385254
Ngawi;2.196504824;0.114243425;-7.43878188;111.3433248
Nias;1.924322995;0.068098186;1.07133764;97.72269996
Nias Barat;1.722938942;0.037777709;1.02896677;97.49276569
Nias Selatan;8.538063091;0.205277506;0.32831189;98.09989846
Nias Utara;2.87312935;0.100077632;1.31446948;97.35512557
Nunukan;12.12439336;1.121344288;4.00687184;116.6323918
Ogan Ilir;3.102500905;0.181483263;-3.40722057;104.6115684
Ogan Komering Ilir;9.891814383;1.391737033;-3.36468464;105.3958703
Ogan Komering Ulu;4.055102332;0.307201553;-4.09113642;104.1085975
Ogan Komering Ulu Selatan;4.058734864;0.35684658;-4.58728227;103.908508
Ogan Komering Ulu Timur;4.618315235;0.276576757;-4.07993463;104.563611
Pacitan;2.715766894;0.117652616;-8.1249969;111.1781497
Padang Lawas;3.895643951;0.320246942;1.14467177;99.84562202
Padang Lawas Utara;5.902209906;0.321505284;1.59631227;99.77045111
Padang Pariaman;2.080636309;0.109570376;-0.56511309;100.228646
Pakpak Bharat;1.68133413;0.11088554;2.54980979;98.24356743
Pamekasan;1.648270718;0.064776713;-7.06555907;113.504453
Pandeglang;5.891674691;0.226645513;-6.5903375;105.7428865
Pangandaran;2.48449783;0.092197841;-7.63593009;108.5185509
Pangkajene Kepulauan;5.586963381;0.072510215;-4.93953062;119.4790359
Paniai;3.790034459;0.383550041;-3.80806399;136.4813462
Parigi Moutong;9.013575861;0.471693025;0.01687019;120.4490482
Pasaman;3.862065432;0.321083327;0.38790289;100.0888783
Pasaman Barat;3.741299983;0.308997864;0.20588796;99.67852514
Pasangkayu;4.282629017;0.236601587;-1.48912571;119.5080587
Paser;6.607462553;0.871460175;-1.74252933;116.0925359
Pasuruan;2.094873795;0.122219405;-7.74271199;112.8318329
Pati;2.493584719;0.128650518;-6.74339023;111.0422833
Pegunungan Arfak;3.391064262;0.308749952;-1.290178;133.6793961
Pegunungan Bintang;9.211317228;1.26713971;-4.54001754;140.5308251
Pekalongan;1.701010689;0.073175778;-7.05694831;109.6205044
Pelalawan;7.425770019;1.060972133;0.22023675;102.2741787
Pemalang;2.096582847;0.093033869;-7.03683153;109.3951292
Penajam Paser Utara;3.445194147;0.260136097;-1.15906236;116.5928547
Penukal Abab Lematang Ilir;2.462085042;0.144708817;-3.22141855;103.9768165
Pesawaran;4.663984669;0.105059055;-5.46941426;105.1152235
Pesisir Barat;4.656097677;0.239822973;-5.33841585;104.1650559
Pesisir Selatan;5.503374011;0.494012465;-1.73935561;100.8809977
Pidie;3.802967759;0.255099986;5.05786377;96.02898627
Pidie Jaya;1.460174044;0.077615685;5.12365938;96.21166477
Pinrang;2.525645946;0.151194778;-3.63203781;119.6016852
Pohuwato;4.498054502;0.355066144;0.68829253;121.7097825
Polewali Mandar;2.670342543;0.169224475;-3.30983955;119.1467989
Ponorogo;2.228429193;0.116378378;-7.93110052;111.499941
Poso;5.053629091;0.582780317;-1.67140831;120.5216644
Pringsewu;1.975533571;0.04981885;-5.33622895;104.9320814
Probolinggo;3.273253593;0.141804216;-7.86683986;113.3210109
Pulang Pisau;5.979271241;0.790285364;-2.6954132;113.9612162
Pulau Morotai;3.334722542;0.190118351;2.3163753;128.4483021
Pulau Taliabu;5.690066056;0.242684192;-1.8194339;124.7393955
Puncak;7.677741836;0.559859585;-3.70101431;137.4872738
Puncak Jaya;4.970063203;0.389579027;-3.42542758;137.8472535
Purbalingga;1.551583368;0.066011439;-7.32325441;109.4071849
Purwakarta;1.688612226;0.081202855;-6.59527821;107.4307763
Purworejo;1.566244914;0.088542922;-7.70030906;109.9658627
Raja Ampat;47.833891;0.601152851;-0.89638148;130.5677179
Rejang Lebong;2.246625475;0.126340726;-3.42990666;102.7022447
Rembang;1.724645693;0.08486715;-6.77514627;111.461518
Rokan Hilir;6.491201897;0.753690122;1.78323278;100.756889
