site;province;city;district;village
Taman Sungai Tapah;Riau;Rokan Hilir;Tanjung Medan;Sungai Tapah
Taman Sungai Tarap;Riau;Kampar;Kampa;Sungai Tarap
Taman Sungaiterap;Riau;Indragiri Hilir;Reteh;Sungaiterap
Taman Sungaiteritip;Riau;Indragiri Hilir;Kateman;Sungaiteritip
Taman Sungaiundan;Riau;Indragiri Hilir;Reteh;Sungaiundan
Taman Sungayang;Sumatera Barat;Tanah Datar;Sungayang;Sungayang
Taman Sunge Sigiring-Giring;Sumatera Utara;Tapanuli Selatan;Saipar Dolok Hole;Sunge Sigiring-Giring
Taman Sunua;Sumatera Barat;Padang Pariaman;Nan Sabaris;Sunua
Taman Sunua Barat;Sumatera Barat;Padang Pariaman;Nan Sabaris;Sunua Barat
Taman Sunua Tengah;Sumatera Barat;Padang Pariaman;Nan Sabaris;Sunua Tengah
Taman Supayang;Sumatera Barat;Solok;Payung Sekaki;Supayang
Taman Supayang;Sumatera Barat;Tanah Datar;Salimpaung;Supayang
Taman Surantih;Sumatera Barat;Pesisir Selatan;Sutera;Surantih
Taman Suraya Mandiri;Riau;Indragiri Hilir;Mandah;Suraya Mandiri
Taman Surian;Sumatera Barat;Solok;Pantai Cermin;Surian
Taman Suro Dingin;Sumatera Utara;Padang Lawas;Lubuk Barumun;Suro Dingin
Taman Surya Indah;Riau;Pelalawan;Pangkalan Kuras;Surya Indah
Taman Susua;Sumatera Utara;Nias Selatan;Ulususua;Susua
Taman Tabek;Sumatera Barat;Tanah Datar;Pariangan;Tabek
Taman Tabek;Sumatera Barat;Dharmasraya;Timpeh;Tabek
Taman Tabek Panjang;Sumatera Barat;Agam;Baso;Tabek Panjang
Taman Tabek Patah;Sumatera Barat;Tanah Datar;Salimpaung;Tabek Patah
Taman Tabek Sirah Talu (Persiapan);Sumatera Barat;Pasaman Barat;Talamau;Tabek Sirah Talu (Persiapan)
Taman Tabing;Riau;Kampar;Koto Kampar Hulu;Tabing
Taman Tabuyung;Sumatera Utara;Mandailing Natal;Muara Batang Gadis;Tabuyung
Taman Taeh Baruah;Sumatera Barat;Lima Puluh Kota;Payakumbuh;Taeh Baruah
Taman Taeh Bukik;Sumatera Barat;Lima Puluh Kota;Payakumbuh;Taeh Bukik
Taman Tafulu;Sumatera Utara;Nias Selatan;Mazo;Tafulu
Taman Tagagiri Tama Jaya;Riau;Indragiri Hilir;Pelangiran;Tagagiri Tama Jaya
Taman Tagaule;Sumatera Utara;Nias;Bawolato;Tagaule
Taman Tagilang Julu;Sumatera Utara;Mandailing Natal;Muara Batang Gadis;Tagilang Julu
Taman Tahalak Ujung Gading;Sumatera Utara;Tapanuli Selatan;Batang Angkola;Tahalak Ujung Gading
Taman Talafu;Sumatera Utara;Nias;Botomuzoi;Talafu
Taman Talago Gunung;Sumatera Barat;Kota Sawahlunto;Barangin;Talago Gunung
Taman Talago Sarik;Sumatera Barat;Kota Pariaman;Pariaman Timur;Talago Sarik
Taman Talang;Sumatera Barat;Solok;Gunung Talang;Talang
Taman Talang;Sumatera Barat;Kota Payakumbuh;Payakumbuh Barat;Talang
Taman Tujuh Buah Tangga;Riau;Indragiri Hulu;Rakit Kulim;Tujuh Buah Tangga
Taman Talang Anau;Sumatera Barat;Lima Puluh Kota;Gunuang Omeh;Talang Anau
Taman Talang Babungo;Sumatera Barat;Solok;Hiliran Gumanti;Talang Babungo
Taman Talang Balarik Tapan;Sumatera Barat;Pesisir Selatan;Ranah Ampek Hulu Tapan;Talang Balarik Tapan
Taman Talang Bersemi;Riau;Indragiri Hulu;Batang Cenaku;Talang Bersemi
Taman Talang Danto;Riau;Kampar;Tapung Hulu;Talang Danto
Taman Talang Durian Cacar;Riau;Indragiri Hulu;Rakit Kulim;Talang Durian Cacar
Taman Talang Gedabu;Riau;Indragiri Hulu;Rakit Kulim;Talang Gedabu
Taman Talang Jangkang;Riau;Indragiri Hilir;Kemuning;Talang Jangkang
Taman Talang Jerinjing;Riau;Indragiri Hulu;Rengat Barat;Talang Jerinjing
Taman Talang Koto Pulai Tapan;Sumatera Barat;Pesisir Selatan;Ranah Ampek Hulu Tapan;Talang Koto Pulai Tapan
Taman Talang Lakat;Riau;Indragiri Hulu;Batang Gangsal;Talang Lakat
Taman Talang Maur;Sumatera Barat;Lima Puluh Kota;Mungka;Talang Maur
Taman Talang Mulya;Riau;Indragiri Hulu;Batang Cenaku;Talang Mulya
Taman Talang Perigi;Riau;Indragiri Hulu;Rakit Kulim;Talang Perigi
Taman Talang Pring Jaya;Riau;Indragiri Hulu;Rakit Kulim;Talang Pring Jaya
Taman Talang Selantai;Riau;Indragiri Hulu;Rakit Kulim;Talang Selantai
Taman Talang Suka Maju;Riau;Indragiri Hulu;Rakit Kulim;Talang Suka Maju
Taman Talang Sungai Limau;Riau;Indragiri Hulu;Rakit Kulim;Talang Sungai Limau
Taman Talang Sungai Parit;Riau;Indragiri Hulu;Rakit Kulim;Talang Sungai Parit
Taman Talang Tangah;Sumatera Barat;Tanah Datar;Sungai Tarab;Talang Tangah
Taman Talao Sungai Kunyit;Sumatera Barat;Solok Selatan;Sangir Balai Janggo;Talao Sungai Kunyit
Taman Talaok;Sumatera Barat;Pesisir Selatan;Bayang;Talaok
Taman Talau;Riau;Pelalawan;Pangkalan Kuras;Talau
Taman Talawi Hilie;Sumatera Barat;Kota Sawahlunto;Talawi;Talawi Hilie
Taman Talawi Mudiak;Sumatera Barat;Kota Sawahlunto;Talawi;Talawi Mudiak
Taman Talikumain;Riau;Rokan Hulu;Tambusai;Talikumain
Taman Talio;Sumatera Utara;Nias Selatan;Hilisalawa'Ahe;Talio
Taman Talontom;Riau;Kuantan Singingi;Benai;Talontom
Taman Talu;Sumatera Barat;Pasaman Barat;Talamau;Talu
Taman Taluak;Sumatera Barat;Pesisir Selatan;Batang Kapas;Taluak
Taman Taluak;Sumatera Barat;Tanah Datar;Lintau Buo;Taluak
Taman Taluak Ambun Ujung Gading (Persiapan);Sumatera Barat;Pasaman Barat;Lembah Melintang;Taluak Ambun Ujung Gading (Persiapan)
Taman Taluak Ampek Suku;Sumatera Barat;Agam;Banuhampu;Taluak Ampek Suku
Taman Taluk;Sumatera Utara;Mandailing Natal;Natal;Taluk
Taman Taluk;Sumatera Barat;Kota Pariaman;Pariaman Selatan;Taluk
Taman Taluk Tigo Sakato;Sumatera Barat;Pesisir Selatan;Batang Kapas;Taluk Tigo Sakato
Taman Talunan Maju;Sumatera Barat;Solok Selatan;Sangir Balai Janggo;Talunan Maju
Taman Taluzusua;Sumatera Utara;Nias Selatan;Sidua'Ori;Taluzusua
Taman Tambak;Riau;Indragiri Hulu;Kuala Cenaku;Tambak
Taman Tambak;Riau;Pelalawan;Langgam;Tambak
Taman Tambang;Sumatera Barat;Pesisir Selatan;Iv Jurai;Tambang
Taman Tambang;Riau;Kampar;Tambang;Tambang
Taman Tambangan;Sumatera Barat;Tanah Datar;X Koto;Tambangan
Taman Tambangan Jae;Sumatera Utara;Mandailing Natal;Tambangan;Tambangan Jae
Taman Tambangan Pasoman;Sumatera Utara;Mandailing Natal;Tambangan;Tambangan Pasoman
Taman Tambangan Tonga;Sumatera Utara;Mandailing Natal;Tambangan;Tambangan Tonga
Taman Tambiski;Sumatera Utara;Mandailing Natal;Naga Juang;Tambiski
Taman Tambiski Nauli;Sumatera Utara;Mandailing Natal;Naga Juang;Tambiski Nauli
Taman Tambun;Riau;Pelalawan;Bandar Petalangan;Tambun
Taman Tambusai;Riau;Kampar;Rumbio Jaya;Tambusai
Taman Tambusai Barat;Riau;Rokan Hulu;Tambusai;Tambusai Barat
Taman Tambusai Timur;Riau;Rokan Hulu;Tambusai;Tambusai Timur
Taman Tambusai Utara;Riau;Rokan Hulu;Tambusai Utara;Tambusai Utara
Taman Tambusaibatangdui;Riau;Bengkalis;Bathin Solapan;Tambusaibatangdui
Taman Tamiang;Sumatera Utara;Mandailing Natal;Kotanopan;Tamiang
Taman Tamiang;Sumatera Utara;Padang Lawas;Batang Lubu Sutam;Tamiang
Taman Tamiang Mudo;Sumatera Utara;Mandailing Natal;Muara Sipongi;Tamiang Mudo
Taman Tamosu;Sumatera Utara;Padang Lawas Utara;Batang Onang;Tamosu
Taman Tamparungo;Sumatera Barat;Sijunjung;Sumpur Kudus;Tamparungo
Taman Tampus Damai Ujung Gading (Persiapan);Sumatera Barat;Pasaman Barat;Lembah Melintang;Tampus Damai Ujung Gading (Persiapan)
Taman Tanah Bakali Inderapura;Sumatera Barat;Pesisir Selatan;Airpura;Tanah Bakali Inderapura
Taman Tanah Bekali;Riau;Kuantan Singingi;Pangean;Tanah Bekali
Taman Tanah Datar;Riau;Indragiri Hulu;Rengat Barat;Tanah Datar
Taman Tanah Datar;Riau;Kampar;Tapung Hulu;Tanah Datar
Taman Tanah Datar;Riau;Kampar;Tapung Hulu;Tanah Datar
Taman Tanah Merah;Riau;Kampar;Siak Hulu;Tanah Merah
Taman Tanah Merah;Riau;Indragiri Hilir;Tanah Merah;Tanah Merah
Taman Tanah Merah;Riau;Kepulauan Meranti;Rangsang Pesisir;Tanah Merah
Taman Tanah Tinggi;Riau;Kampar;Tapung Hilir;Tanah Tinggi
Taman Tandan Sari;Riau;Kampar;Tapung Hilir;Tandan Sari
Taman Tandihat;Sumatera Utara;Tapanuli Selatan;Angkola Selatan;Tandihat
Taman Tandihat;Sumatera Utara;Padang Lawas;Barumun Tengah;Tandihat
Taman Tandikek;Sumatera Utara;Mandailing Natal;Ranto Baek;Tandikek
Taman Tandikek;Sumatera Barat;Padang Pariaman;Patamuan;Tandikek
Taman Tandikek Barat;Sumatera Barat;Padang Pariaman;Patamuan;Tandikek Barat
Taman Tandikek Selatan;Sumatera Barat;Padang Pariaman;Patamuan;Tandikek Selatan
Taman Tandikek Utara;Sumatera Barat;Padang Pariaman;Patamuan;Tandikek Utara
Taman Tandolan;Sumatera Utara;Padang Lawas;Batang Lubu Sutam;Tandolan
Taman Tandun;Riau;Rokan Hulu;Tandun;Tandun
Taman Tandun Barat;Riau;Rokan Hulu;Tandun;Tandun Barat
Taman Tangga-Tangga Hambeng;Sumatera Utara;Padang Lawas Utara;Padang Bolak Tenggara;Tangga-Tangga Hambeng
Taman Tangga Batu;Sumatera Utara;Padang Lawas;Batang Lubu Sutam;Tangga Batu
Taman Tangga Batu;Riau;Rokan Hilir;Tanjung Medan;Tangga Batu
Taman Tangga Bosi;Sumatera Utara;Padang Lawas;Lubuk Barumun;Tangga Bosi
Taman Tangga Bosi I;Sumatera Utara;Mandailing Natal;Siabu;Tangga Bosi I
Taman Tangga Bosi Ii;Sumatera Utara;Mandailing Natal;Siabu;Tangga Bosi Ii
Taman Tangga Bosi Iii;Sumatera Utara;Mandailing Natal;Siabu;Tangga Bosi Iii
Taman Tangsi Atas;Sumatera Utara;Mandailing Natal;Lingga Bayu;Tangsi Atas
Taman Tangun;Riau;Rokan Hulu;Bangun Purba;Tangun
Taman Tani Makmur;Riau;Indragiri Hulu;Rengat Barat;Tani Makmur
Taman Tanjuang Balik;Sumatera Barat;Lima Puluh Kota;Pangkalan Koto Baru;Tanjuang Balik
Taman Tanjuang Baringin;Sumatera Barat;Pasaman;Lubuk Sikaping;Tanjuang Baringin
Taman Tanjuang Baringin Selatan (Persiapan);Sumatera Barat;Pasaman;Lubuk Sikaping;Tanjuang Baringin Selatan (Persiapan)
Taman Tanjuang Baringin Utara (Persiapan);Sumatera Barat;Pasaman;Lubuk Sikaping;Tanjuang Baringin Utara (Persiapan)
Taman Tanjuang Bonai;Sumatera Barat;Tanah Datar;Lintau Buo Utara;Tanjuang Bonai
Taman Tanjuang Bungo;Sumatera Barat;Lima Puluh Kota;Suliki;Tanjuang Bungo
Taman Tanjuang Gadang;Sumatera Barat;Lima Puluh Kota;Lareh Sago Halaban;Tanjuang Gadang
Taman Tanjung;Sumatera Utara;Mandailing Natal;Panyabungan Timur;Tanjung
Taman Tanjung;Sumatera Utara;Padang Lawas;Ulu Barumun;Tanjung
Taman Tanjung;Sumatera Utara;Padang Lawas;Sosa;Tanjung
Taman Tanjung;Sumatera Utara;Padang Lawas;Aek Nabara Barumun;Tanjung
Taman Tanjung;Sumatera Barat;Sijunjung;Koto VII;Tanjung
Taman Tanjung;Sumatera Barat;Tanah Datar;Sungayang;Tanjung
Taman Tanjung;Riau;Kampar;Koto Kampar Hulu;Tanjung
Taman Tanjung;Riau;Kuantan Singingi;Kuantan Hilir Seberang;Tanjung
Taman Tanjung;Riau;Kepulauan Meranti;Tebing Tinggi Barat;Tanjung
Taman Tanjung;Riau;Kuantan Singingi;Hulu Kuantan;Tanjung
Taman Tanjung Air Hitam;Riau;Pelalawan;Kerumutan;Tanjung Air Hitam
Taman Tanjung Alai;Sumatera Utara;Mandailing Natal;Muara Sipongi;Tanjung Alai
Taman Tanjung Alai;Sumatera Barat;Solok;X Koto Singkarak;Tanjung Alai
Taman Tanjung Alai;Riau;Kampar;Xiii Koto Kampar;Tanjung Alai
Taman Tanjuang Alam;Sumatera Barat;Tanah Datar;Tanjuang Baru;Tanjuang Alam
Taman Tanjung Alam;Sumatera Barat;Dharmasraya;Asam Jujuhan;Tanjung Alam
Taman Tanjung Ale;Sumatera Utara;Padang Lawas;Huta Raja Tinggi;Tanjung Ale
Taman Tanjung Bakau;Riau;Kepulauan Meranti;Rangsang;Tanjung Bakau
Taman Tanjung Balam;Riau;Kampar;Siak Hulu;Tanjung Balam
Taman Tanjung Bale;Sumatera Utara;Padang Lawas;Sosa;Tanjung Bale
Taman Tanjung Balik;Sumatera Barat;Solok;X Koto Diatas;Tanjung Balik
Taman Tanjung Balik Sumiso;Sumatera Barat;Solok;Tigo Lurah;Tanjung Balik Sumiso
Taman Tanjung Barani;Sumatera Utara;Padang Lawas;Batang Lubu Sutam;Tanjung Barani
Taman Tanjung Baringin;Sumatera Utara;Padang Lawas;Huristak;Tanjung Baringin
Taman Tanjung Baringin;Sumatera Utara;Padang Lawas;Huta Raja Tinggi;Tanjung Baringin
Taman Tanjung Baringin Simarulak;Sumatera Utara;Padang Lawas;Barumun Selatan;Tanjung Baringin Simarulak
Taman Tanjung Baru;Sumatera Utara;Padang Lawas;Batang Lubu Sutam;Tanjung Baru
Taman Tanjung Baru B;Sumatera Utara;Padang Lawas Utara;Dolok;Tanjung Baru B
Taman Tanjuang Barulak;Sumatera Barat;Tanah Datar;Batipuh;Tanjuang Barulak
Taman Tanjung Barulak;Sumatera Barat;Tanah Datar;Tanjung Emas;Tanjung Barulak
Taman Tanjung Belit;Riau;Rokan Hulu;Rambah;Tanjung Belit
Taman Tanjung Belit;Riau;Kampar;Kampar Kiri Hulu;Tanjung Belit
Taman Tanjung Belit Selatan;Riau;Kampar;Kampar Kiri Hulu;Tanjung Belit Selatan
Taman Tanjung Beludu;Riau;Indragiri Hulu;Kelayang;Tanjung Beludu
Taman Tanjung Beringin;Riau;Pelalawan;Pangkalan Kuras;Tanjung Beringin
Taman Tanjung Beringin;Riau;Kampar;Kampar Kiri Hulu;Tanjung Beringin
Taman Tanjung Berulak;Riau;Kampar;Kampar;Tanjung Berulak
Taman Tanjung Betung;Sumatera Barat;Pasaman;Rao Selatan;Tanjung Betung
Taman Tanjung Betung Timur (Persiapan);Sumatera Barat;Pasaman;Rao Selatan;Tanjung Betung Timur (Persiapan)
Taman Tanjung Betung Utara (Persiapan);Sumatera Barat;Pasaman;Rao Selatan;Tanjung Betung Utara (Persiapan)
Taman Tanjung Bingkung;Sumatera Barat;Solok;Kubung;Tanjung Bingkung
Taman Tanjung Bingkung;Sumatera Barat;Solok;Kubung;Tanjung Bingkung
Taman Tanjung Bonai Aur;Sumatera Barat;Sijunjung;Sumpur Kudus;Tanjung Bonai Aur
Taman Tanjung Bonai Aur Selatan;Sumatera Barat;Sijunjung;Sumpur Kudus;Tanjung Bonai Aur Selatan
Taman Tanjung Botung;Sumatera Utara;Padang Lawas Utara;Simangambat;Tanjung Botung
Taman Tanjung Botung;Sumatera Utara;Padang Lawas;Barumun;Tanjung Botung
Taman Tanjung Botung Pinarik;Sumatera Utara;Padang Lawas;Batang Lubu Sutam;Tanjung Botung Pinarik
Taman Tanjung Botung Sosa Jae;Sumatera Utara;Padang Lawas;Sosa;Tanjung Botung Sosa Jae
Taman Tanjung Danau;Riau;Indragiri Hulu;Sungai Lala;Tanjung Danau
Taman Tanjung Darul Takzim;Riau;Kepulauan Meranti;Tebing Tinggi Barat;Tanjung Darul Takzim
Taman Tanjung Dolok;Sumatera Utara;Tapanuli Selatan;Marancar;Tanjung Dolok
Taman Tanjung Durian;Sumatera Utara;Padang Lawas;Barumun;Tanjung Durian
Taman Tanjung Durian Pasar Baru;Sumatera Barat;Pesisir Selatan;Bayang;Tanjung Durian Pasar Baru
Taman Tanjung Gadai;Riau;Kepulauan Meranti;Tebing Tinggi Timur;Tanjung Gadai
Taman Tanjung Gadang;Sumatera Barat;Sijunjung;Tanjung Gadang;Tanjung Gadang
Taman Tanjung Gemuk;Riau;Kepulauan Meranti;Rangsang;Tanjung Gemuk
Taman Tanjung Harapan;Riau;Kampar;Kampar Kiri;Tanjung Harapan
Taman Tanjung Julu;Sumatera Utara;Mandailing Natal;Panyabungan Timur;Tanjung Julu
Taman Tanjung Kaliang;Sumatera Barat;Sijunjung;Kamang Baru;Tanjung Kaliang
Taman Tanjung Karang;Riau;Kampar;Kampar Kiri Hulu;Tanjung Karang
Taman Tanjung Kedabu;Riau;Kepulauan Meranti;Rangsang Pesisir;Tanjung Kedabu
Taman Tanjung Kulim;Riau;Kepulauan Meranti;Merbau;Tanjung Kulim
Taman Tanjung Kuras;Riau;Siak;Sungai Apit;Tanjung Kuras
Taman Tanjung Kuyo;Riau;Pelalawan;Pangkalan Lesung;Tanjung Kuyo
Taman Tanjung Labuah;Sumatera Barat;Sijunjung;Sumpur Kudus;Tanjung Labuah
Taman Tanjung Larangan;Sumatera Utara;Mandailing Natal;Muara Sipongi;Tanjung Larangan
Taman Tanjung Lolo;Sumatera Barat;Sijunjung;Tanjung Gadang;Tanjung Lolo
Taman Tanjung Longat;Sumatera Utara;Padang Lawas Utara;Dolok;Tanjung Longat
Taman Tanjung Maria;Sumatera Utara;Padang Lawas Utara;Simangambat;Tanjung Maria
Taman Tanjung Marulak;Sumatera Utara;Padang Lawas Utara;Padang Bolak;Tanjung Marulak
Taman Tanjung Medan;Sumatera Utara;Tapanuli Selatan;Tano Tombangan Angkola;Tanjung Medan
Taman Tanjung Medan;Sumatera Utara;Mandailing Natal;Muara Sipongi;Tanjung Medan
Taman Tanjung Medan;Riau;Rokan Hulu;Rokan Iv Koto;Tanjung Medan
Taman Tanjung Medan;Riau;Rokan Hulu;Tambusai Utara;Tanjung Medan
Taman Tanjung Medang;Riau;Kepulauan Meranti;Rangsang;Tanjung Medang
Taman Tanjung Mompang;Sumatera Utara;Mandailing Natal;Panyabungan Utara;Tanjung Mompang
Taman Tanjung Morang;Sumatera Utara;Padang Lawas;Huristak;Tanjung Morang
Taman Tanjung Morang;Sumatera Utara;Padang Lawas;Sihapas Barumun;Tanjung Morang
Taman Tanjung Padang;Riau;Kepulauan Meranti;Tasik Putri Puyu;Tanjung Padang
Taman Tanjung Pauh;Sumatera Barat;Lima Puluh Kota;Pangkalan Koto Baru;Tanjung Pauh
Taman Tanjung Pauh;Sumatera Barat;Kota Payakumbuh;Payakumbuh Barat;Tanjung Pauh
Taman Tanjung Peranap;Riau;Kepulauan Meranti;Tebing Tinggi Barat;Tanjung Peranap
Taman Tanjung Permai;Riau;Kampar;Kampar Kiri Hulu;Tanjung Permai
Taman Tanjung Pisang;Riau;Kepulauan Meranti;Tasik Putri Puyu;Tanjung Pisang
Taman Tanjung Pondok Tapan;Sumatera Barat;Pesisir Selatan;Basa Ampek Balai Tapan;Tanjung Pondok Tapan
Taman Tanjung Purba Tua;Sumatera Utara;Padang Lawas;Barumun Selatan;Tanjung Purba Tua
Taman Tanjung Rambutan;Riau;Kampar;Kampar;Tanjung Rambutan
Taman Tanjung Rokan;Sumatera Utara;Padang Lawas;Aek Nabara Barumun;Tanjung Rokan
Taman Tanjung Sabar;Sumatera Barat;Kota Pariaman;Pariaman Utara;Tanjung Sabar
Taman Tanjung Salamat;Sumatera Utara;Padang Lawas Utara;Portibi;Tanjung Salamat
Taman Tanjung Samak;Riau;Kepulauan Meranti;Rangsang;Tanjung Samak
Taman Tanjung Sani;Sumatera Barat;Agam;Tanjung Raya;Tanjung Sani
Taman Tanjung Sari;Riau;Indragiri Hulu;Kuala Cenaku;Tanjung Sari
Taman Tanjung Sari;Riau;Kepulauan Meranti;Tebing Tinggi Timur;Tanjung Sari
Taman Tanjung Sari;Riau;Indragiri Hulu;Kuala Cenaku;Tanjung Sari
Taman Tanjung Sawit;Riau;Kampar;Tapung;Tanjung Sawit
Taman Tanjung Sialang;Sumatera Utara;Mandailing Natal;Siabu;Tanjung Sialang
Taman Tanjung Sum;Riau;Pelalawan;Kuala Kampar;Tanjung Sum
Taman Tanjung Tiram;Sumatera Utara;Padang Lawas Utara;Padang Bolak;Tanjung Tiram
Taman Tanjungbaru;Riau;Indragiri Hilir;Tanah Merah;Tanjungbaru
Taman Tanjungbelit;Riau;Bengkalis;Siak Kecil;Tanjungbelit
Taman Tanjungbunga;Riau;Kepulauan Meranti;Pulau Merbau;Tanjungbunga
Taman Tanjung Bungo;Riau;Kampar;Kampa;Tanjung Bungo
Taman Tanjungdamai;Riau;Bengkalis;Siak Kecil;Tanjungdamai
Taman Tanjungdatuk;Riau;Bengkalis;Siak Kecil;Tanjungdatuk
Taman Tanjungharapan;Riau;Indragiri Hilir;Gaung Anak Serka;Tanjungharapan
Taman Tanjunglabuh;Riau;Indragiri Hilir;Reteh;Tanjunglabuh
Taman Tanjunglajau;Riau;Indragiri Hilir;Kuala Indragiri;Tanjunglajau
Taman Tanjungleban;Riau;Bengkalis;Bandar Laksamana;Tanjungleban
Taman Tanjung Mas;Riau;Kampar;Kampar Kiri;Tanjung Mas
Taman Tanjung Medan;Riau;Rokan Hilir;Tanjung Medan;Tanjung Medan
Taman Tanjungmedan;Riau;Kuantan Singingi;Cerenti;Tanjungmedan
Taman Tanjung Medan Barat;Riau;Rokan Hilir;Tanjung Medan;Tanjung Medan Barat
Taman Tanjung Medan Utara;Riau;Rokan Hilir;Tanjung Medan;Tanjung Medan Utara
Taman Tanjungmedang;Riau;Kuantan Singingi;Hulu Kuantan;Tanjungmedang
Taman Tanjungmelayu;Riau;Indragiri Hilir;Kuala Indragiri;Tanjungmelayu
Taman Tanjungpasir;Riau;Indragiri Hilir;Tanah Merah;Tanjungpasir
Taman Tanjungpauh;Riau;Kuantan Singingi;Singingi Hilir;Tanjungpauh
Taman Tanjungpidada;Riau;Indragiri Hilir;Tempuling;Tanjungpidada
Taman Tanjungpisang;Riau;Kuantan Singingi;Kuantan Hilir Seberang;Tanjungpisang
Taman Tanjungraja;Riau;Indragiri Hilir;Kateman;Tanjungraja
Taman Tanjung Sari;Riau;Rokan Hilir;Tanjung Medan;Tanjung Sari
Taman Tanjungsiantar;Riau;Indragiri Hilir;Batang Tuaka;Tanjungsiantar
Taman Tanjungsimandolak;Riau;Kuantan Singingi;Benai;Tanjungsimandolak
Taman Tanjungsimpang;Riau;Indragiri Hilir;Pelangiran;Tanjungsimpang
Taman Tano Mokinu;Sumatera Utara;Nias Selatan;Hibala;Tano Mokinu
Taman Tanobato;Sumatera Utara;Padang Lawas;Barumun;Tanobato
Taman Tanoniko'O;Sumatera Utara;Nias Selatan;Gomo;Tanoniko'O
Taman Tapakih;Sumatera Barat;Padang Pariaman;Ulakan Tapakis;Tapakih
Taman Tapan;Sumatera Barat;Pesisir Selatan;Basa Ampek Balai Tapan;Tapan
Taman Tapi Selo;Sumatera Barat;Tanah Datar;Lintau Buo Utara;Tapi Selo
Taman Tapian Nauli;Sumatera Utara;Padang Lawas;Ulu Barumun;Tapian Nauli
Taman Tapian Nauli I;Sumatera Utara;Tapanuli Tengah;Tapian Nauli;Tapian Nauli I
Taman Tapian Nauli Ii;Sumatera Utara;Tapanuli Tengah;Tapian Nauli;Tapian Nauli Ii
Taman Tapian Nauli Iii;Sumatera Utara;Tapanuli Tengah;Tapian Nauli;Tapian Nauli Iii
Taman Tapian Nauli Iv;Sumatera Utara;Tapanuli Tengah;Tapian Nauli;Tapian Nauli Iv
Taman Tapian Nauli/ Saurmanggita;Sumatera Utara;Tapanuli Tengah;Tukka;Tapian Nauli/ Saurmanggita
Taman Tapung Jaya;Riau;Rokan Hulu;Tandun;Tapung Jaya
Taman Tapung Lestari;Riau;Kampar;Tapung Hilir;Tapung Lestari
Taman Tapung Makmur;Riau;Kampar;Tapung Hilir;Tapung Makmur
Taman Tapus Jae;Sumatera Utara;Padang Lawas Utara;Halongonan;Tapus Jae
Taman Tar Sihoda-Hoda;Sumatera Utara;Padang Lawas;Huristak;Tar Sihoda-Hoda
Taman Taraha;Sumatera Utara;Nias Barat;Mandrehe Utara;Taraha
Taman Tarahoso;Sumatera Utara;Nias Barat;Mandrehe Utara;Tarahoso
Taman Tarai Bangun;Riau;Kampar;Tambang;Tarai Bangun
Taman Tarakhaini;Sumatera Utara;Kota Gunungsitoli;Gunungsitoli Alo'Oa;Tarakhaini
Taman Taram;Sumatera Barat;Lima Puluh Kota;Harau;Taram
Taman Tarantang;Sumatera Barat;Lima Puluh Kota;Harau;Tarantang
Taman Tarapung Raya;Sumatera Utara;Tapanuli Selatan;Muara Batang Toru;Tarapung Raya
Taman Taratak;Sumatera Barat;Pesisir Selatan;Sutera;Taratak
Taman Taratak Baru;Sumatera Barat;Sijunjung;Tanjung Gadang;Taratak Baru
Taman Taratak Baru Utara;Sumatera Barat;Sijunjung;Tanjung Gadang;Taratak Baru Utara
Taman Taratak Boncah;Sumatera Barat;Kota Sawahlunto;Silungkang;Taratak Boncah
Taman Taratak Padang Kampuang;Sumatera Barat;Kota Payakumbuh;Payakumbuh Utara;Taratak Padang Kampuang
Taman Taratak Sungai Lundang;Sumatera Barat;Pesisir Selatan;Koto Xi Tarusan;Taratak Sungai Lundang
Taman Taratak Tangah Lumpo;Sumatera Barat;Pesisir Selatan;Iv Jurai;Taratak Tangah Lumpo
Taman Taratak Tinggi;Sumatera Barat;Dharmasraya;Timpeh;Taratak Tinggi
Taman Tarewe;Sumatera Utara;Nias Selatan;Huruna;Tarewe
Taman Tarlola;Sumatera Utara;Mandailing Natal;Batang Natal;Tarlola
Taman Taruang-Taruang;Sumatera Barat;Solok;Ix Koto Sungai Lasi;Taruang-Taruang
Taman Taruang Taruang;Sumatera Barat;Pasaman;Rao;Taruang Taruang
Taman Taruang Taruang Selatan (Persiapan);Sumatera Barat;Pasaman;Rao;Taruang Taruang Selatan (Persiapan)
Taman Taruang Taruang Utara (Persiapan);Sumatera Barat;Pasaman;Rao;Taruang Taruang Utara (Persiapan)
Taman Tarutung Baru;Sumatera Utara;Kota Padang Sidempuan;Padangsidimpuan Tenggara;Tarutung Baru
Taman Tarutung Bolak;Sumatera Utara;Tapanuli Tengah;Sorkam;Tarutung Bolak
Taman Tarutung Bolak;Sumatera Utara;Padang Lawas Utara;Dolok;Tarutung Bolak
Taman Tarutung Panjang;Sumatera Utara;Mandailing Natal;Naga Juang;Tarutung Panjang
Taman Tasik Betung;Riau;Siak;Sungai Mandau;Tasik Betung
Taman Tasik Juang;Riau;Indragiri Hulu;Lubuk Batu Jaya;Tasik Juang
Taman Tasik Raya;Riau;Indragiri Hilir;Batang Tuaka;Tasik Raya
Taman Tasik Seminai;Riau;Siak;Koto Gasib;Tasik Seminai
Taman Tasikserai;Riau;Bengkalis;Talang Muandau;Tasikserai
Taman Tasikserai Barat;Riau;Bengkalis;Talang Muandau;Tasikserai Barat
